video,arm,budget_pct,seed,n_frames,n_windows,n_gold,n_admitted,M1,M2,M3,note
Arrest001,D_random,10.0,3,2374,1,301,237,1.0,0.11960132890365449,0.1518987341772152,
Arrest001,D_random,10.0,4,2374,1,301,237,1.0,0.11960132890365449,0.1518987341772152,
Arrest001,C_uniform,10.5,,2374,1,301,249,1.0,0.10631229235880399,0.1285140562248996,
Arrest001,D_random,10.5,0,2374,1,301,249,1.0,0.09302325581395349,0.11244979919678715,
Arrest001,D_random,10.5,1,2374,1,301,249,1.0,0.07641196013289037,0.09236947791164658,
Arrest001,D_random,10.5,2,2374,1,301,249,1.0,0.11295681063122924,0.13654618473895583,
Arrest001,D_random,10.5,3,2374,1,301,249,1.0,0.12292358803986711,0.14859437751004015,
Arrest001,D_random,10.5,4,2374,1,301,249,1.0,0.12624584717607973,0.15261044176706828,
Arrest001,C_uniform,20.0,,2374,1,301,474,1.0,0.19933554817275748,0.12658227848101267,
Arrest001,D_random,20.0,0,2374,1,301,474,1.0,0.19933554817275748,0.12658227848101267,
Arrest001,D_random,20.0,1,2374,1,301,474,1.0,0.18604651162790697,0.11814345991561181,
Arrest001,D_random,20.0,2,2374,1,301,474,1.0,0.1893687707641196,0.12025316455696203,
Arrest001,D_random,20.0,3,2374,1,301,474,1.0,0.23255813953488372,0.14767932489451477,
Arrest001,D_random,20.0,4,2374,1,301,474,1.0,0.1760797342192691,0.11181434599156118,
Arrest001,C_uniform,30.0,,2374,1,301,712,1.0,0.3023255813953488,0.12780898876404495,
Arrest001,D_random,30.0,0,2374,1,301,712,1.0,0.3222591362126246,0.13623595505617977,
Arrest001,D_random,30.0,1,2374,1,301,712,1.0,0.3023255813953488,0.12780898876404495,
Arrest001,D_random,30.0,2,2374,1,301,712,1.0,0.2724252491694352,0.1151685393258427,
Arrest001,D_random,30.0,3,2374,1,301,712,1.0,0.2956810631229236,0.125,
Arrest001,D_random,30.0,4,2374,1,301,712,1.0,0.2691029900332226,0.11376404494382023,
Arrest007,A_production,10.5916,,3144,1,631,333,1.0,0.098256735340729,0.18618618618618618,natural retention
Arrest007,B_recomputed,10.5916,,3144,1,631,333,1.0,0.014263074484944533,0.02702702702702703,topk@10.59%; charon_retention=10.59%
Arrest007,C_uniform,5.0,,3144,1,631,157,1.0,0.05071315372424723,0.20382165605095542,
Arrest007,D_random,5.0,0,3144,1,631,157,1.0,0.058637083993660855,0.2356687898089172,
Arrest007,D_random,5.0,1,3144,1,631,157,1.0,0.039619651347068144,0.1592356687898089,
Arrest007,D_random,5.0,2,3144,1,631,157,1.0,0.06814580031695722,0.27388535031847133,
Arrest007,D_random,5.0,3,3144,1,631,157,1.0,0.0554675118858954,0.2229299363057325,
Arrest007,D_random,5.0,4,3144,1,631,157,1.0,0.04120443740095087,0.16560509554140126,
Arrest007,C_uniform,10.0,,3144,1,631,314,1.0,0.09984152139461172,0.20063694267515925,
Arrest007,D_random,10.0,0,3144,1,631,314,1.0,0.09508716323296355,0.1910828025477707,
Arrest007,D_random,10.0,1,3144,1,631,314,1.0,0.08874801901743265,0.17834394904458598,
Arrest007,D_random,10.0,2,3144,1,631,314,1.0,0.10618066561014262,0.21337579617834396,
Arrest007,D_random,10.0,3,3144,1,631,314,1.0,0.10301109350237718,0.2070063694267516,
Arrest007,D_random,10.0,4,3144,1,631,314,1.0,0.098256735340729,0.19745222929936307,
Arrest007,C_uniform,10.5,,3144,1,631,330,1.0,0.1045958795562599,0.2,
Arrest007,D_random,10.5,0,3144,1,631,330,1.0,0.09667194928684628,0.18484848484848485,
Arrest007,D_random,10.5,1,3144,1,631,330,1.0,0.09350237717908082,0.1787878787878788,
Arrest007,D_random,10.5,2,3144,1,631,330,1.0,0.11251980982567353,0.21515151515151515,
Arrest007,D_random,10.5,3,3144,1,631,330,1.0,0.11251980982567353,0.21515151515151515,
Arrest007,D_random,10.5,4,3144,1,631,330,1.0,0.1045958795562599,0.2,
Arrest007,C_uniform,20.0,,3144,1,631,628,1.0,0.19968304278922344,0.20063694267515925,
Arrest007,D_random,20.0,0,3144,1,631,628,1.0,0.20285261489698891,0.20382165605095542,
Arrest007,D_random,20.0,1,3144,1,631,628,1.0,0.2076069730586371,0.2085987261146497,
Arrest007,D_random,20.0,2,3144,1,631,628,1.0,0.19968304278922344,0.20063694267515925,
Arrest007,D_random,20.0,3,3144,1,631,628,1.0,0.20602218700475436,0.2070063694267516,
Arrest007,D_random,20.0,4,3144,1,631,628,1.0,0.18700475435816163,0.18789808917197454,
Arrest007,C_uniform,30.0,,3144,1,631,943,1.0,0.29952456418383516,0.20042417815482502,
Arrest007,D_random,30.0,0,3144,1,631,943,1.0,0.31695721077654515,0.21208907741251326,
Arrest007,D_random,30.0,1,3144,1,631,943,1.0,0.2979397781299525,0.19936373276776245,
Arrest007,D_random,30.0,2,3144,1,631,943,1.0,0.27099841521394613,0.18133616118769882,
Arrest007,D_random,30.0,3,3144,1,631,943,1.0,0.28526148969889065,0.19088016967126192,
Arrest007,D_random,30.0,4,3144,1,631,943,1.0,0.29952456418383516,0.20042417815482502,
Arson007,A_production,10.4287,,6252,1,3451,652,1.0,0.1046073601854535,0.553680981595092,natural retention
Arson007,B_recomputed,10.4287,,6252,1,3451,652,1.0,0.1616922631121414,0.8558282208588958,topk@10.43%; charon_retention=10.43%
Arson007,C_uniform,5.0,,6252,1,3451,312,1.0,0.049840625905534626,0.5512820512820513,
Arson007,D_random,5.0,0,6252,1,3451,312,1.0,0.05186902347145755,0.5737179487179487,
Arson007,D_random,5.0,1,6252,1,3451,312,1.0,0.05331787887568821,0.5897435897435898,
Arson007,D_random,5.0,2,6252,1,3451,312,1.0,0.05244856563314981,0.5801282051282052,
