video_id,qid,question_type,question_family,gold_span_length_s,span_bucket,survived,total_frames,survivor_count,retention_pct
2604394962,0,CW,causal,4.6,long,True,1078,144,13.358
8811725760,2,CW,causal,3.4,long,True,631,66,10.46
5679866364,3,TN,temporal,3.5,long,True,750,100,13.333
6031805098,2,CW,causal,6.0,long,True,1368,185,13.523
3261079025,2,TN,temporal,3.9,long,True,553,75,13.562
8313365386,5,TN,temporal,5.8,long,True,318,43,13.522
4123915842,4,TN,temporal,4.9,long,True,750,100,13.333
10042935613,4,CW,causal,7.2,long,True,1710,200,11.696
8171216955,1,CW,causal,1.9,short,True,550,75,13.636
2435100235,3,CW,causal,21.3,long,True,1906,256,13.431
4488066715,3,CW,causal,6.5,long,True,2638,352,13.343
8189958994,9,TP,temporal,1.5,short,True,1869,250,13.376
5349766264,1,CW,causal,11.7,long,True,1884,252,13.376
2868183184,6,CH,causal,21.8,long,True,1551,209,13.475
6592821115,8,CW,causal,10.6,long,True,1800,253,14.056
8604794910,1,CW,causal,2.3,short,True,405,55,13.58
3711681535,8,TN,temporal,3.0,long,True,1070,144,13.458
7364407194,4,CW,causal,13.0,long,True,312,43,13.782
9088819598,4,TN,temporal,4.7,long,True,670,70,10.448
7536230796,5,TN,temporal,20.7,long,True,1773,240,13.536
6806999702,4,CW,causal,6.8,long,True,2697,360,13.348
4838113006,3,CW,causal,4.0,long,True,2697,360,13.348
2401167740,6,TN,temporal,1.6,short,True,390,53,13.59
2584172238,8,TN,temporal,11.9,long,True,719,96,13.352
6297019062,7,TN,temporal,3.7,long,True,1746,234,13.402
2696280239,3,CW,causal,3.5,long,True,398,54,13.568
12392885583,6,CH,causal,2.5,short,True,929,110,11.841
8388104887,4,TN,temporal,2.4,short,True,1233,178,14.436
4103088549,0,CW,causal,3.7,long,True,485,67,13.814
6592821115,5,TN,temporal,3.9,long,True,1800,253,14.056
5679866364,5,CW,causal,10.3,long,True,750,100,13.333
3375218204,5,TN,temporal,8.7,long,True,2241,299,13.342
4671452046,8,CW,causal,3.4,long,True,1306,175,13.4
2834146886,1,CW,causal,1.7,short,True,1881,251,13.344
3550839192,1,TC,temporal,18.0,long,True,1050,140,13.333
4130504920,1,TC,temporal,5.5,long,True,422,58,13.744
2697261300,5,TC,temporal,3.0,long,True,1392,187,13.434
5833145209,6,TN,temporal,2.1,short,True,510,68,13.333
13919236672,2,CW,causal,8.1,long,True,3924,467,11.901
9082180631,9,CW,causal,5.2,long,True,406,43,10.591
4762946272,1,CH,causal,0.3,short,True,647,87,13.447
8594314852,5,TC,temporal,6.2,long,True,377,51,13.528
6300775954,6,CW,causal,2.1,short,True,1734,232,13.379
8797589693,7,CH,causal,4.9,long,True,2699,289,10.708
5945172741,8,TN,temporal,6.3,long,True,1593,214,13.434
5116088152,8,TN,temporal,3.6,long,True,1205,162,13.444
8188651630,5,CH,causal,2.4,short,True,571,77,13.485
6078524411,2,TN,temporal,62.4,long,True,2512,336,13.376
4166942239,1,CW,causal,10.8,long,True,590,79,13.39
2932897373,6,TN,temporal,6.3,long,True,558,77,13.799
2559262403,6,TN,temporal,9.5,long,True,2158,288,13.346
5801184682,6,TC,temporal,41.6,long,True,1683,301,17.885
2623954636,7,TN,temporal,2.8,long,True,931,127,13.641
11541421563,1,CW,causal,1.6,short,True,2403,303,12.609
7442562474,5,CW,causal,0.6,short,True,598,80,13.378
3155382178,1,CW,causal,2.8,long,True,858,115,13.403
5296635780,3,CW,causal,6.7,long,True,652,88,13.497
6516459343,4,CW,causal,3.3,long,True,2697,362,13.422
6516459343,5,CW,causal,52.3,long,True,2697,362,13.422
3376544720,6,TC,temporal,37.4,long,True,2158,288,13.346
5129152550,3,CW,causal,5.1,long,True,2697,360,13.348
2793260225,3,CW,causal,3.4,long,True,558,77,13.799
4130504920,3,TN,temporal,3.6,long,True,422,58,13.744
