video_id,qid,frames_captioned,verified,abstained,caption_latency_s,answer_latency_s,verification_latency_s,total_latency_s
6936757706,11,112,False,True,62.75,33.46900000004098,22.95299999997951,119.29700000002049
6936757706,0,102,False,True,61.70299999997951,15.312000000034459,5.437999999965541,82.57799999997951
6936757706,14,19,False,True,13.578000000037719,21.34399999998277,9.01600000000326,44.06300000002375
6936757706,7,88,False,False,38.48499999998603,17.20300000003772,5.936999999976251,61.75
3079724515,6,497,False,False,39.125,29.57799999997951,15.952999999979511,84.89100000000326
3079724515,8,127,False,True,18.639999999955762,25.82900000002701,6.217999999993481,50.78100000001723
3079724515,0,47,False,True,20.0,34.01600000000326,11.625,65.73499999998603
3079724515,9,385,False,True,46.28100000001723,36.14100000000326,12.21899999998277,95.04700000002049
8900428927,0,33,False,False,104.11000000004424,61.13999999995576,10.938000000023749,176.4220000000205
8900428927,13,0,False,True,0.0,59.32800000003772,18.79699999996228,78.21899999998277
8900428927,8,0,False,False,0.0,66.875,19.625,86.73399999999674
8900428927,2,141,False,False,120.85999999998603,39.04599999997299,12.14100000000326,172.125
