video,arm,budget_pct,seed,n_frames,n_windows,n_gold,n_admitted,M1,M2,M3,note
Arrest001,D_random,5.0,1,2374,1,301,118,1.0,0.04318936877076412,0.11016949152542373,
Arrest001,D_random,5.0,2,2374,1,301,118,1.0,0.05647840531561462,0.1440677966101695,
Arrest001,D_random,5.0,3,2374,1,301,118,1.0,0.04318936877076412,0.11016949152542373,
Arrest001,D_random,5.0,4,2374,1,301,118,1.0,0.04983388704318937,0.1271186440677966,
Arrest001,C_uniform,10.0,,2374,1,301,237,1.0,0.09966777408637874,0.12658227848101267,
Arrest001,D_random,10.0,0,2374,1,301,237,1.0,0.08970099667774087,0.11392405063291139,
Arrest001,D_random,10.0,1,2374,1,301,237,1.0,0.06976744186046512,0.08860759493670886,
Arrest001,D_random,10.0,2,2374,1,301,237,1.0,0.10963455149501661,0.13924050632911392,
Arrest001,D_random,10.0,3,2374,1,301,237,1.0,0.11960132890365449,0.1518987341772152,
Arrest001,D_random,10.0,4,2374,1,301,237,1.0,0.11960132890365449,0.1518987341772152,
Arrest001,C_uniform,10.5,,2374,1,301,249,1.0,0.10631229235880399,0.1285140562248996,
Arrest001,D_random,10.5,0,2374,1,301,249,1.0,0.09302325581395349,0.11244979919678715,
Arrest001,D_random,10.5,1,2374,1,301,249,1.0,0.07641196013289037,0.09236947791164658,
Arrest001,D_random,10.5,2,2374,1,301,249,1.0,0.11295681063122924,0.13654618473895583,
Arrest001,D_random,10.5,3,2374,1,301,249,1.0,0.12292358803986711,0.14859437751004015,
Arrest001,D_random,10.5,4,2374,1,301,249,1.0,0.12624584717607973,0.15261044176706828,
Arrest001,C_uniform,20.0,,2374,1,301,474,1.0,0.19933554817275748,0.12658227848101267,
Arrest001,D_random,20.0,0,2374,1,301,474,1.0,0.19933554817275748,0.12658227848101267,
Arrest001,D_random,20.0,1,2374,1,301,474,1.0,0.18604651162790697,0.11814345991561181,
Arrest001,D_random,20.0,2,2374,1,301,474,1.0,0.1893687707641196,0.12025316455696203,
Arrest001,D_random,20.0,3,2374,1,301,474,1.0,0.23255813953488372,0.14767932489451477,
Arrest001,D_random,20.0,4,2374,1,301,474,1.0,0.1760797342192691,0.11181434599156118,
Arrest001,C_uniform,30.0,,2374,1,301,712,1.0,0.3023255813953488,0.12780898876404495,
Arrest001,D_random,30.0,0,2374,1,301,712,1.0,0.3222591362126246,0.13623595505617977,
Arrest001,D_random,30.0,1,2374,1,301,712,1.0,0.3023255813953488,0.12780898876404495,
Arrest001,D_random,30.0,2,2374,1,301,712,1.0,0.2724252491694352,0.1151685393258427,
Arrest001,D_random,30.0,3,2374,1,301,712,1.0,0.2956810631229236,0.125,
Arrest001,D_random,30.0,4,2374,1,301,712,1.0,0.2691029900332226,0.11376404494382023,
Arrest007,A_production,10.5916,,3144,1,631,333,1.0,0.098256735340729,0.18618618618618618,natural retention
Arrest007,C_uniform,5.0,,3144,1,631,157,1.0,0.05071315372424723,0.20382165605095542,
Arrest007,D_random,5.0,0,3144,1,631,157,1.0,0.058637083993660855,0.2356687898089172,
Arrest007,D_random,5.0,1,3144,1,631,157,1.0,0.039619651347068144,0.1592356687898089,
Arrest007,D_random,5.0,2,3144,1,631,157,1.0,0.06814580031695722,0.27388535031847133,
Arrest007,D_random,5.0,3,3144,1,631,157,1.0,0.0554675118858954,0.2229299363057325,
Arrest007,D_random,5.0,4,3144,1,631,157,1.0,0.04120443740095087,0.16560509554140126,
Arrest007,C_uniform,10.0,,3144,1,631,314,1.0,0.09984152139461172,0.20063694267515925,
Arrest007,D_random,10.0,0,3144,1,631,314,1.0,0.09508716323296355,0.1910828025477707,
Arrest007,D_random,10.0,1,3144,1,631,314,1.0,0.08874801901743265,0.17834394904458598,
Arrest007,D_random,10.0,2,3144,1,631,314,1.0,0.10618066561014262,0.21337579617834396,
Arrest007,D_random,10.0,3,3144,1,631,314,1.0,0.10301109350237718,0.2070063694267516,
Arrest007,D_random,10.0,4,3144,1,631,314,1.0,0.098256735340729,0.19745222929936307,
Arrest007,C_uniform,10.5,,3144,1,631,330,1.0,0.1045958795562599,0.2,
Arrest007,D_random,10.5,0,3144,1,631,330,1.0,0.09667194928684628,0.18484848484848485,
Arrest007,D_random,10.5,1,3144,1,631,330,1.0,0.09350237717908082,0.1787878787878788,
Arrest007,D_random,10.5,2,3144,1,631,330,1.0,0.11251980982567353,0.21515151515151515,
Arrest007,D_random,10.5,3,3144,1,631,330,1.0,0.11251980982567353,0.21515151515151515,
Arrest007,D_random,10.5,4,3144,1,631,330,1.0,0.1045958795562599,0.2,
Arrest007,C_uniform,20.0,,3144,1,631,628,1.0,0.19968304278922344,0.20063694267515925,
Arrest007,D_random,20.0,0,3144,1,631,628,1.0,0.20285261489698891,0.20382165605095542,
Arrest007,D_random,20.0,1,3144,1,631,628,1.0,0.2076069730586371,0.2085987261146497,
Arrest007,D_random,20.0,2,3144,1,631,628,1.0,0.19968304278922344,0.20063694267515925,
Arrest007,D_random,20.0,3,3144,1,631,628,1.0,0.20602218700475436,0.2070063694267516,
Arrest007,D_random,20.0,4,3144,1,631,628,1.0,0.18700475435816163,0.18789808917197454,
Arrest007,C_uniform,30.0,,3144,1,631,943,1.0,0.29952456418383516,0.20042417815482502,
Arrest007,D_random,30.0,0,3144,1,631,943,1.0,0.31695721077654515,0.21208907741251326,
Arrest007,D_random,30.0,1,3144,1,631,943,1.0,0.2979397781299525,0.19936373276776245,
Arrest007,D_random,30.0,2,3144,1,631,943,1.0,0.27099841521394613,0.18133616118769882,
Arrest007,D_random,30.0,3,3144,1,631,943,1.0,0.28526148969889065,0.19088016967126192,
Arrest007,D_random,30.0,4,3144,1,631,943,1.0,0.29952456418383516,0.20042417815482502,
Arrest024,A_production,10.4161,,3629,1,2101,378,1.0,0.10471204188481675,0.582010582010582,natural retention
Arrest024,C_uniform,5.0,,3629,1,2101,181,1.0,0.049976201808662545,0.580110497237569,
Arrest024,D_random,5.0,0,3629,1,2101,181,1.0,0.05188005711565921,0.6022099447513812,
Arrest024,D_random,5.0,1,3629,1,2101,181,1.0,0.04950023798191337,0.574585635359116,
Arrest024,D_random,5.0,2,3629,1,2101,181,1.0,0.05283198476915754,0.6132596685082873,
Arrest024,D_random,5.0,3,3629,1,2101,181,1.0,0.05045216563541171,0.585635359116022,
Arrest024,D_random,5.0,4,3629,1,2101,181,1.0,0.047596382674916705,0.5524861878453039,
Arrest024,C_uniform,10.0,,3629,1,2101,362,1.0,0.09995240361732509,0.580110497237569,
Arrest024,D_random,10.0,0,3629,1,2101,362,1.0,0.09995240361732509,0.580110497237569,
Arrest024,D_random,10.0,1,3629,1,2101,362,1.0,0.10233222275107091,0.5939226519337016,
Arrest024,D_random,10.0,2,3629,1,2101,362,1.0,0.10233222275107091,0.5939226519337016,
Arrest024,D_random,10.0,3,3629,1,2101,362,1.0,0.09804854831032842,0.569060773480663,
Arrest024,D_random,10.0,4,3629,1,2101,362,1.0,0.10566396953831508,0.6132596685082873,
Arrest024,C_uniform,10.5,,3629,1,2101,381,1.0,0.10471204188481675,0.5774278215223098,
Arrest024,D_random,10.5,0,3629,1,2101,381,1.0,0.10423607805806759,0.5748031496062992,
Arrest024,D_random,10.5,1,3629,1,2101,381,1.0,0.1099476439790576,0.6062992125984252,
Arrest024,D_random,10.5,2,3629,1,2101,381,1.0,0.10518800571156592,0.5800524934383202,
Arrest024,D_random,10.5,3,3629,1,2101,381,1.0,0.10376011423131842,0.5721784776902887,
Arrest024,D_random,10.5,4,3629,1,2101,381,1.0,0.10709186101856259,0.5905511811023622,
Arrest024,C_uniform,20.0,,3629,1,2101,725,1.0,0.199428843407901,0.5779310344827586,
Arrest024,D_random,20.0,0,3629,1,2101,725,1.0,0.21370775821037602,0.6193103448275862,
Arrest024,D_random,20.0,1,3629,1,2101,725,1.0,0.199428843407901,0.5779310344827586,
Arrest024,D_random,20.0,2,3629,1,2101,725,1.0,0.20323655402189433,0.5889655172413794,
Arrest024,D_random,20.0,3,3629,1,2101,725,1.0,0.2008567348881485,0.5820689655172414,
Arrest024,D_random,20.0,4,3629,1,2101,725,1.0,0.20276059019514517,0.5875862068965517,
Arrest024,C_uniform,30.0,,3629,1,2101,1088,1.0,0.29985721085197525,0.5790441176470589,
Arrest024,D_random,30.0,0,3629,1,2101,1088,1.0,0.30414088529271777,0.5873161764705882,
Arrest024,D_random,30.0,1,3629,1,2101,1088,1.0,0.3017610661589719,0.5827205882352942,
Arrest024,D_random,30.0,2,3629,1,2101,1088,1.0,0.30271299381247024,0.5845588235294118,
Arrest024,D_random,30.0,3,3629,1,2101,1088,1.0,0.2979533555449786,0.5753676470588235,
Arrest024,D_random,30.0,4,3629,1,2101,1088,1.0,0.29557353641123274,0.5707720588235294,
Arrest030,A_production,10.449,,8642,1,1666,903,1.0,0.1014405762304922,0.18715393133997785,natural retention
Arrest030,C_uniform,5.0,,8642,1,1666,432,1.0,0.04981992797118848,0.19212962962962962,
Arrest030,D_random,5.0,0,8642,1,1666,432,1.0,0.05102040816326531,0.19675925925925927,
Arrest030,D_random,5.0,1,8642,1,1666,432,1.0,0.055222088835534214,0.21296296296296297,
Arrest030,D_random,5.0,2,8642,1,1666,432,1.0,0.048619447779111646,0.1875,
Arrest030,D_random,5.0,3,8642,1,1666,432,1.0,0.048619447779111646,0.1875,
Arrest030,D_random,5.0,4,8642,1,1666,432,1.0,0.05162064825930372,0.19907407407407407,
Arrest030,C_uniform,10.0,,8642,1,1666,864,1.0,0.10024009603841537,0.19328703703703703,
Arrest030,D_random,10.0,0,8642,1,1666,864,1.0,0.10624249699879952,0.2048611111111111,
Arrest030,D_random,10.0,1,8642,1,1666,864,1.0,0.1014405762304922,0.19560185185185186,
Arrest030,D_random,10.0,2,8642,1,1666,864,1.0,0.09603841536614646,0.18518518518518517,
Arrest030,D_random,10.0,3,8642,1,1666,864,1.0,0.09483793517406963,0.18287037037037038,
Arrest030,D_random,10.0,4,8642,1,1666,864,1.0,0.10204081632653061,0.19675925925925927,
Arrest030,C_uniform,10.5,,8642,1,1666,907,1.0,0.10444177671068428,0.1918412348401323,
Arrest030,D_random,10.5,0,8642,1,1666,907,1.0,0.11164465786314526,0.20507166482910694,
Arrest030,D_random,10.5,1,8642,1,1666,907,1.0,0.10444177671068428,0.1918412348401323,
Arrest030,D_random,10.5,2,8642,1,1666,907,1.0,0.10504201680672269,0.19294377067254687,
Arrest030,D_random,10.5,3,8642,1,1666,907,1.0,0.10084033613445378,0.185226019845645,
Arrest030,D_random,10.5,4,8642,1,1666,907,1.0,0.10744297719087635,0.19735391400220506,
Arrest030,C_uniform,20.0,,8642,1,1666,1728,1.0,0.1998799519807923,0.19270833333333334,
Arrest030,D_random,20.0,0,8642,1,1666,1728,1.0,0.20588235294117646,0.19849537037037038,
Arrest030,D_random,20.0,1,8642,1,1666,1728,1.0,0.2028811524609844,0.19560185185185186,
Arrest030,D_random,20.0,2,8642,1,1666,1728,1.0,0.2034813925570228,0.19618055555555555,
Arrest030,D_random,20.0,3,8642,1,1666,1728,1.0,0.18487394957983194,0.17824074074074073,
Arrest030,D_random,20.0,4,8642,1,1666,1728,1.0,0.20768307322929172,0.20023148148148148,
Arrest030,C_uniform,30.0,,8642,1,1666,2592,1.0,0.30012004801920766,0.19290123456790123,
Arrest030,D_random,30.0,0,8642,1,1666,2592,1.0,0.3187274909963986,0.2048611111111111,
Arrest030,D_random,30.0,1,8642,1,1666,2592,1.0,0.3043217286914766,0.19560185185185186,
Arrest030,D_random,30.0,2,8642,1,1666,2592,1.0,0.2965186074429772,0.19058641975308643,
Arrest030,D_random,30.0,3,8642,1,1666,2592,1.0,0.28811524609843936,0.18518518518518517,
Arrest030,D_random,30.0,4,8642,1,1666,2592,1.0,0.3199279711884754,0.2056327160493827,
Arrest039,A_production,10.4073,,15835,1,3121,1648,1.0,0.10445370073694328,0.19781553398058252,natural retention
Arrest039,C_uniform,5.0,,15835,1,3121,791,1.0,0.049983979493752,0.1972187104930468,
Arrest039,D_random,5.0,0,15835,1,3121,791,1.0,0.050304389618711955,0.19848293299620734,
Arrest039,D_random,5.0,1,15835,1,3121,791,1.0,0.04742069849407241,0.18710493046776233,
Arrest039,D_random,5.0,2,15835,1,3121,791,1.0,0.05094520986863185,0.20101137800252844,
Arrest039,D_random,5.0,3,15835,1,3121,791,1.0,0.051906440243511695,0.20480404551201012,
Arrest039,D_random,5.0,4,15835,1,3121,791,1.0,0.0506247997436719,0.1997471554993679,
Arrest039,C_uniform,10.0,,15835,1,3121,1583,1.0,0.099967958987504,0.19709412507896398,
Arrest039,D_random,10.0,0,15835,1,3121,1583,1.0,0.09772508811278437,0.19267214150347442,
Arrest039,D_random,10.0,1,15835,1,3121,1583,1.0,0.09388016661326498,0.18509159823120658,
Arrest039,D_random,10.0,2,15835,1,3121,1583,1.0,0.10733739186158282,0.21162349968414404,
Arrest039,D_random,10.0,3,15835,1,3121,1583,1.0,0.1012495994873438,0.1996209728363866,
Arrest039,D_random,10.0,4,15835,1,3121,1583,1.0,0.1012495994873438,0.1996209728363866,
Arrest039,C_uniform,10.5,,15835,1,3121,1662,1.0,0.10509452098686319,0.197352587244284,
Arrest039,D_random,10.5,0,15835,1,3121,1662,1.0,0.1018904197372637,0.19133574007220217,
Arrest039,D_random,10.5,1,15835,1,3121,1662,1.0,0.09868631848766421,0.18531889290012032,
Arrest039,D_random,10.5,2,15835,1,3121,1662,1.0,0.11150272348606216,0.20938628158844766,
Arrest039,D_random,10.5,3,15835,1,3121,1662,1.0,0.10765780198654278,0.20216606498194944,
Arrest039,D_random,10.5,4,15835,1,3121,1662,1.0,0.10477411086190323,0.1967509025270758,
Arrest039,C_uniform,20.0,,15835,1,3121,3167,1.0,0.199935917975008,0.19703189137985475,
Arrest039,D_random,20.0,0,15835,1,3121,3167,1.0,0.20281960909964755,0.19987369750552572,
Arrest039,D_random,20.0,1,15835,1,3121,3167,1.0,0.19512976610060878,0.19229554783706979,
Arrest039,D_random,20.0,2,15835,1,3121,3167,1.0,0.20025632809996796,0.19734764761604043,
Arrest039,D_random,20.0,3,15835,1,3121,3167,1.0,0.20153796859980774,0.19861067256078307,
Arrest039,D_random,20.0,4,15835,1,3121,3167,1.0,0.19577058635052869,0.19292706030944112,
Arrest039,C_uniform,30.0,,15835,1,3121,4750,1.0,0.29990387696251203,0.19705263157894737,
Arrest039,D_random,30.0,0,15835,1,3121,4750,1.0,0.2957385453380327,0.19431578947368422,
Arrest039,D_random,30.0,1,15835,1,3121,4750,1.0,0.2906119833386735,0.19094736842105264,
Arrest039,D_random,30.0,2,15835,1,3121,4750,1.0,0.29894264658763214,0.19642105263157894,
