auc_all_frames_propagated,class,n_frames_decoded,n_positive_frames,n_spans,per_frame_csv,retention_pct,video_name
,Normal,1835,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_059_x264.csv,10.626702997275205,Normal_Videos_059_x264.mp4
,Normal,355,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_063_x264.csv,10.704225352112676,Normal_Videos_063_x264.mp4
,Normal,1068,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_067_x264.csv,10.486891385767791,Normal_Videos_067_x264.mp4
,Normal,993,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_070_x264.csv,10.574018126888218,Normal_Videos_070_x264.mp4
,Normal,627,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_100_x264.csv,10.526315789473685,Normal_Videos_100_x264.mp4
,Normal,467,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_129_x264.csv,10.492505353319057,Normal_Videos_129_x264.mp4
,Normal,864,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_150_x264.csv,10.532407407407407,Normal_Videos_150_x264.mp4
,Normal,1740,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_168_x264.csv,10.402298850574713,Normal_Videos_168_x264.mp4
,Normal,8847,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_175_x264.csv,10.410308579179382,Normal_Videos_175_x264.mp4
,Normal,4094,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_182_x264.csv,10.42989741084514,Normal_Videos_182_x264.mp4
,Normal,737,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_189_x264.csv,10.447761194029852,Normal_Videos_189_x264.mp4
,Normal,2004,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_196_x264.csv,10.479041916167665,Normal_Videos_196_x264.mp4
,Normal,2571,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_203_x264.csv,10.423959548813691,Normal_Videos_203_x264.mp4
,Normal,5408,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_210_x264.csv,10.410502958579881,Normal_Videos_210_x264.mp4
,Normal,1817,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_217_x264.csv,10.456796917996698,Normal_Videos_217_x264.mp4
,Normal,6958,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_224_x264.csv,10.41966082207531,Normal_Videos_224_x264.mp4
