baseline_rss_bytes,duration_s_meta,error,fps,frames_retained_full_feature,frames_skipped_pixelwork,frames_total_decoded,n_scored_frames,nb_frames_meta,nn_forward_pass_calls_during_ingest,path,peak_rss_bytes,per_frame_action_score_csv,retention_pct,size_bytes,torch_available_for_monitor,wall_time_s,wall_time_s_per_1000_frames
396701696,87.8,,30.0,275,2359,2634,2634,2634,0,eval\data\ucf\videos\Anomaly-Videos-Part-1\Arson\Arson014_x264.mp4,501301248,tuning\ucfcrime_vad_exp1\per_frame_action_scores\Arson014_x264.csv,10.44039483675019,16957057,True,2.332652999990387,0.8855933940737991
428052480,94.4,,30.0,296,2536,2832,2832,2832,0,eval\data\ucf\videos\Anomaly-Videos-Part-1\Abuse\Abuse022_x264.mp4,517603328,tuning\ucfcrime_vad_exp1\per_frame_action_scores\Abuse022_x264.csv,10.451977401129943,19462399,True,2.68862810000428,0.9493743290975566
419074048,105.3,,30.0,336,2823,3159,3159,3159,0,eval\data\ucf\videos\Anomaly-Videos-Part-1\Arson\Arson010_x264.mp4,541818880,tuning\ucfcrime_vad_exp1\per_frame_action_scores\Arson010_x264.csv,10.63627730294397,12694369,True,2.752610099996673,0.871354890787171
470466560,114.4,,30.0,358,3074,3432,3432,3432,0,eval\data\ucf\videos\Anomaly-Videos-Part-1\Arrest\Arrest017_x264.mp4,563441664,tuning\ucfcrime_vad_exp1\per_frame_action_scores\Arrest017_x264.csv,10.43123543123543,24625746,True,3.0760125999950105,0.8962740675976139
441401344,125.13333333333334,,30.0,394,3360,3754,3754,3754,0,eval\data\ucf\videos\Anomaly-Videos-Part-1\Arson\Arson041_x264.mp4,584118272,tuning\ucfcrime_vad_exp1\per_frame_action_scores\Arson041_x264.csv,10.495471497069792,15253202,True,3.2583499000029406,0.8679674746944435
458838016,139.56666666666666,,30.0,440,3747,4187,4187,4187,0,eval\data\ucf\videos\Anomaly-Videos-Part-1\Arson\Arson001_x264.mp4,620953600,tuning\ucfcrime_vad_exp1\per_frame_action_scores\Arson001_x264.csv,10.508717458801051,29013622,True,3.800269700004719,0.9076354669225505
578289664,156.76666666666668,,30.0,496,4207,4703,4703,4703,0,eval\data\ucf\videos\Anomaly-Videos-Part-1\Abuse\Abuse036_x264.mp4,605642752,tuning\ucfcrime_vad_exp1\per_frame_action_scores\Abuse036_x264.csv,10.546459706570275,40961654,True,4.345936000012443,0.9240773974085569
530145280,169.5,,30.0,530,4555,5085,5085,5085,0,eval\data\ucf\videos\Anomaly-Videos-Part-1\Abuse\Abuse045_x264.mp4,667074560,tuning\ucfcrime_vad_exp1\per_frame_action_scores\Abuse045_x264.csv,10.422812192723697,21650729,True,3.940346799994586,0.774896125859309
513843200,208.4,,30.0,652,5600,6252,6252,6252,0,eval\data\ucf\videos\Anomaly-Videos-Part-1\Arson\Arson007_x264.mp4,732446720,tuning\ucfcrime_vad_exp1\per_frame_action_scores\Arson007_x264.csv,10.428662827895074,58767696,True,5.4200815000076545,0.866935620602632
557654016,251.2,,30.0,785,6751,7536,7536,7536,0,eval\data\ucf\videos\Anomaly-Videos-Part-1\Assault\Assault008_x264.mp4,874647552,tuning\ucfcrime_vad_exp1\per_frame_action_scores\Assault008_x264.csv,10.416666666666666,64507217,True,6.54451040001004,0.8684329087062156
624689152,288.06666666666666,,30.0,903,7739,8642,8642,8642,0,eval\data\ucf\videos\Anomaly-Videos-Part-1\Arrest\Arrest030_x264.mp4,938426368,tuning\ucfcrime_vad_exp1\per_frame_action_scores\Arrest030_x264.csv,10.448970145799583,48931788,True,7.087430800005677,0.820114649387373
779644928,360.0,,30.0,1125,9675,10800,10800,10800,0,eval\data\ucf\videos\Anomaly-Videos-Part-1\Arrest\Arrest051_x264.mp4,958214144,tuning\ucfcrime_vad_exp1\per_frame_action_scores\Arrest051_x264.csv,10.416666666666666,91839785,True,10.096616400012863,0.9348718888900799
777695232,607.4666666666667,,30.0,1896,16328,18224,18224,18224,0,eval\data\ucf\videos\Testing_Normal_Videos_Anomaly\Normal_Videos_923_x264.mp4,1291190272,tuning\ucfcrime_vad_exp1\per_frame_action_scores\Normal_Videos_923_x264.csv,10.403863037752414,107835500,True,15.473844399995869,0.8490915496046899
