arm,query_mode,traversal,scope,metric,value,n
A,none,none,type=TC,IoP@0.5,0.35789473684210527,380
A,none,none,type=TC,IoU@0.3,0.24473684210526317,380
A,none,none,type=TC,IoU@0.5,0.12631578947368421,380
A,none,none,type=TC,zero_width_count,0,380
A,none,none,type=TC,zero_width_rate,0.0,380
A,none,none,type=TC,invalid_span_count,0,380
A,none,none,type=TC,mean_pred_span_width,4.287695,380
A,none,none,type=TC,median_retrieval_ms,3.7005,380
A,none,none,type=TC,p95_retrieval_ms,4.641299999999999,380
A,none,none,type=TC,mean_ppr_calls,1.0,380
A,none,none,type=TC,max_ppr_calls,1,380
A,none,none,type=TC,avg_context_frames,4.0,380
A,none,none,type=TC,max_context_frames_observed,4,380
A,none,none,gold_width=<2s,n,278,278
A,none,none,gold_width=<2s,gold_frame_at_4,0.34172661870503596,278
A,none,none,gold_width=<2s,anchor_in_gold_at_1,0.12949640287769784,278
A,none,none,gold_width=<2s,mIoP,0.0787673561151079,278
A,none,none,gold_width=<2s,mIoU,0.07702210791366906,278
A,none,none,gold_width=<2s,IoP@0.3,0.11510791366906475,278
A,none,none,gold_width=<2s,IoP@0.5,0.007194244604316547,278
A,none,none,gold_width=<2s,IoU@0.3,0.1079136690647482,278
A,none,none,gold_width=<2s,IoU@0.5,0.007194244604316547,278
A,none,none,gold_width=<2s,zero_width_count,0,278
A,none,none,gold_width=<2s,zero_width_rate,0.0,278
A,none,none,gold_width=<2s,invalid_span_count,0,278
A,none,none,gold_width=<2s,mean_pred_span_width,4.246180215827338,278
A,none,none,gold_width=<2s,median_retrieval_ms,3.5789999999999997,278
A,none,none,gold_width=<2s,p95_retrieval_ms,4.59315,278
A,none,none,gold_width=<2s,mean_ppr_calls,1.0,278
A,none,none,gold_width=<2s,max_ppr_calls,1,278
A,none,none,gold_width=<2s,avg_context_frames,4.0,278
A,none,none,gold_width=<2s,max_context_frames_observed,4,278
A,none,none,gold_width=2-5s,n,1125,1125
A,none,none,gold_width=2-5s,gold_frame_at_4,0.4231111111111111,1125
A,none,none,gold_width=2-5s,anchor_in_gold_at_1,0.20355555555555555,1125
A,none,none,gold_width=2-5s,mIoP,0.1960696808888889,1125
A,none,none,gold_width=2-5s,mIoU,0.167704936,1125
A,none,none,gold_width=2-5s,IoP@0.3,0.2942222222222222,1125
A,none,none,gold_width=2-5s,IoP@0.5,0.21244444444444444,1125
A,none,none,gold_width=2-5s,IoU@0.3,0.2613333333333333,1125
A,none,none,gold_width=2-5s,IoU@0.5,0.16266666666666665,1125
A,none,none,gold_width=2-5s,zero_width_count,0,1125
A,none,none,gold_width=2-5s,zero_width_rate,0.0,1125
A,none,none,gold_width=2-5s,invalid_span_count,0,1125
A,none,none,gold_width=2-5s,mean_pred_span_width,4.277731911111111,1125
A,none,none,gold_width=2-5s,median_retrieval_ms,3.678,1125
A,none,none,gold_width=2-5s,p95_retrieval_ms,4.5694,1125
A,none,none,gold_width=2-5s,mean_ppr_calls,1.0,1125
A,none,none,gold_width=2-5s,max_ppr_calls,1,1125
A,none,none,gold_width=2-5s,avg_context_frames,4.0,1125
A,none,none,gold_width=2-5s,max_context_frames_observed,4,1125
A,none,none,gold_width=5-10s,n,731,731
A,none,none,gold_width=5-10s,gold_frame_at_4,0.5937072503419972,731
A,none,none,gold_width=5-10s,anchor_in_gold_at_1,0.34199726402188785,731
A,none,none,gold_width=5-10s,mIoP,0.33718262243502056,731
A,none,none,gold_width=5-10s,mIoU,0.20004438577291384,731
A,none,none,gold_width=5-10s,IoP@0.3,0.4117647058823529,731
A,none,none,gold_width=5-10s,IoP@0.5,0.3488372093023256,731
A,none,none,gold_width=5-10s,IoU@0.3,0.33105335157318744,731
A,none,none,gold_width=5-10s,IoU@0.5,0.18194254445964433,731
A,none,none,gold_width=5-10s,zero_width_count,0,731
A,none,none,gold_width=5-10s,zero_width_rate,0.0,731
A,none,none,gold_width=5-10s,invalid_span_count,0,731
A,none,none,gold_width=5-10s,mean_pred_span_width,4.294734062927497,731
A,none,none,gold_width=5-10s,median_retrieval_ms,3.755,731
A,none,none,gold_width=5-10s,p95_retrieval_ms,4.680400000000001,731
