video,qid,ppr_lambda,any_in_gold,top1_in_gold,anchor_in_gold,iop,iou
6860322796,0,0.5,True,False,False,0.0,0.0
4123211145,9,0.5,False,False,False,0.0,0.0
7330294814,2,0.5,True,True,True,1.0,0.09821
2482028659,5,0.5,True,True,True,0.54411,0.29535
6205856607,1,0.5,False,False,False,0.12473,0.05746
5889898795,4,0.5,False,False,False,0.0,0.0
6793786769,10,0.5,False,False,False,0.0,0.0
3124551255,2,0.5,True,False,True,0.66773,0.11404
2547885226,0,0.5,True,True,True,1.0,0.44898
8254300526,8,0.5,True,True,False,0.0,0.0
9213637099,0,0.5,True,False,False,0.0,0.0
9256409422,7,0.5,False,False,False,0.0,0.0
2810112808,4,0.5,True,False,True,0.56577,0.36552
3502722122,7,0.5,True,True,True,1.0,0.5641
5702201498,1,0.5,True,False,False,0.34979,0.25393
7651639778,1,0.5,True,False,False,0.0,0.0
3851961428,10,0.5,False,False,False,0.0,0.0
4279106208,7,0.5,False,False,False,0.0,0.0
6542914065,5,0.5,True,True,True,0.75895,0.54205
3562017845,6,0.5,True,True,True,0.72191,0.61995
6018514357,3,0.5,False,False,False,0.0,0.0
2482028659,6,0.5,True,False,False,0.0,0.0
4822859674,4,0.5,False,False,False,0.26477,0.23138
7330294814,5,0.5,False,False,False,0.0,0.0
7651639778,2,0.5,True,False,False,0.0,0.0
2810112808,1,0.5,False,False,False,0.0,0.0
4087013668,0,0.5,True,True,True,1.0,0.13056
8547321641,9,0.5,True,False,False,0.0,0.0
9409566840,3,0.5,True,True,True,0.7454,0.52728
4087013668,7,0.5,False,False,False,0.0,0.0
4658396458,1,0.5,False,False,False,0.0,0.0
4123211145,1,0.5,True,True,True,1.0,0.07143
3066064005,0,0.5,True,False,False,0.48971,0.15233
2885091387,9,0.5,True,True,True,0.84295,0.19738
5352022985,2,0.5,True,False,False,0.36781,0.1978
4123211145,8,0.5,True,True,True,1.0,0.07143
4635309062,11,0.5,True,True,True,1.0,0.14966
4087654898,5,0.5,False,False,False,0.0,0.0
4483447009,0,0.5,True,True,True,0.93686,0.35329
6793786769,3,0.5,False,False,False,0.0,0.0
8563398032,3,0.5,True,False,True,0.95455,0.45652
3355698421,1,0.5,True,True,False,0.0,0.0
4179163342,5,0.5,True,True,False,0.0,0.0
7508439506,5,0.5,True,True,False,0.0,0.0
4279106208,0,0.5,False,False,False,0.0,0.0
5586394125,9,0.5,False,False,False,0.0,0.0
5047408177,5,0.5,False,False,False,0.0,0.0
3124551255,8,0.5,False,False,False,0.0,0.0
3595273118,2,0.5,False,False,False,0.0,0.0
3402648543,7,0.5,True,False,False,0.0,0.0
2510696559,7,0.5,False,False,False,0.0,0.0
6793786769,11,0.5,False,False,False,0.0,0.0
3843551232,1,0.5,True,True,False,0.0,0.0
6205856607,7,0.5,True,False,False,0.0,0.0
6793786769,7,0.5,False,False,False,0.0,0.0
4658396458,7,0.5,False,False,False,0.0,0.0
6617533993,2,0.5,True,True,True,1.0,0.28387
8547321641,8,0.5,False,False,False,0.0,0.0
5047408177,2,0.5,True,True,True,0.90909,0.25157
10727696143,5,0.5,False,False,False,0.0,0.0
6018514357,7,0.5,True,True,True,0.86946,0.59089
4635309062,0,0.5,False,False,False,0.0,0.0
6018514357,5,0.5,False,False,False,0.0,0.0
6542914065,1,0.5,False,False,False,0.23331,0.21506
4087654898,3,0.5,True,True,False,0.0,0.0
7888256388,2,0.5,True,False,True,0.84091,0.84091
8254300526,7,0.5,True,False,False,0.24621,0.24528
4126010904,1,0.5,False,False,False,0.0,0.0
8252088130,4,0.5,False,False,False,0.0,0.0
4744503881,0,0.5,True,True,True,0.75,0.75
3843551232,7,0.5,True,False,False,0.0,0.0
2552130183,9,0.5,True,False,False,0.0,0.0
5658916668,0,0.5,False,False,False,0.08069,0.05264
5840177726,0,0.5,False,False,False,0.0,0.0
5840177726,5,0.5,False,False,False,0.01689,0.01105
11670386946,4,0.5,True,True,False,0.4966,0.18036
7887764754,1,0.5,False,False,False,0.43773,0.17209
7330294814,1,0.5,True,True,False,0.0,0.0
10597533885,5,0.5,False,False,False,0.0,0.0
3452354871,4,0.5,True,True,True,0.81818,0.81818
5047408177,3,0.5,True,True,True,1.0,0.34375
6160414832,8,0.5,False,False,False,0.0,0.0
14012319794,0,0.5,True,True,True,1.0,0.51163
2920952624,9,0.5,False,False,False,0.0,0.0
9528990839,6,0.5,True,False,True,0.70455,0.70455
4013751996,3,0.5,True,False,True,0.94644,0.91813
3124551255,5,0.5,True,False,False,0.0,0.0
4179163342,10,0.5,True,True,True,0.70455,0.70455
4740074365,8,0.5,False,False,False,0.0,0.0
6163877860,6,0.5,False,False,False,0.0,0.0
2547885226,5,0.5,True,False,True,0.27273,0.27273
6018514357,4,0.5,True,True,True,1.0,0.30345
5586394125,5,0.5,True,True,True,0.53589,0.22581
4822859674,1,0.5,False,False,False,0.0,0.0
4635309062,6,0.5,True,False,False,0.0,0.0
4013751996,2,0.5,False,False,False,0.0,0.0
6860322796,6,0.5,True,False,False,0.0,0.0
5323654756,9,0.5,True,False,True,1.0,0.08998
2885091387,2,0.5,True,False,False,0.0,0.0
2920952624,1,0.5,True,True,False,0.0,0.0
7888256388,1,0.5,True,False,False,0.0,0.0
9256409422,8,0.5,False,False,False,0.0,0.0
11670386946,3,0.5,True,False,False,0.40797,0.26379
4626535366,5,0.5,False,False,False,0.0,0.0
4626535366,7,0.5,True,True,True,1.0,0.12828
3066064005,2,0.5,True,False,False,0.39665,0.1167
3124551255,7,0.5,False,False,False,0.0,0.0
9208803675,3,0.5,True,True,True,0.6981,0.59895
2589540862,2,0.5,True,True,True,0.40909,0.40909
9735768590,0,0.5,True,False,False,0.0,0.0
4757890069,3,0.5,True,False,True,1.0,0.22
4782722858,1,0.5,False,False,False,0.0,0.0
5586394125,8,0.5,False,False,False,0.0,0.0
4635309062,1,0.5,True,True,True,1.0,0.0648
4136617240,9,0.5,True,True,True,0.71853,0.71853
6205856607,3,0.5,False,False,False,0.0,0.0
9528990839,5,0.5,True,True,True,0.50758,0.32057
11565498775,7,0.5,True,True,True,0.86173,0.36082
2716277960,3,0.5,True,False,True,0.87682,0.54018
7330294814,3,0.5,True,True,True,1.0,0.1982
9256409422,2,0.5,False,False,False,0.0,0.0
8254300526,1,0.5,False,False,False,0.4072,0.38053
14012319794,3,0.5,True,False,False,0.07197,0.03486
5702201498,3,0.5,True,True,True,0.96908,0.29293
6793786769,0,0.5,True,True,True,1.0,0.10304
5863411262,3,0.5,False,False,False,0.0,0.0
10727696143,1,0.5,False,False,False,0.0,0.0
3124551255,4,0.5,True,False,False,0.0,0.0
2547885226,4,0.5,True,False,False,0.23199,0.11627
3784543730,2,0.5,False,False,False,0.0,0.0
4658396458,0,0.5,False,False,False,0.0,0.0
4123211145,5,0.5,False,False,False,0.0,0.0
4273039295,12,0.5,True,True,True,1.0,0.30345
3066064005,7,0.5,True,False,False,0.0,0.0
7651639778,0,0.5,True,True,True,0.95746,0.07525
4635309062,7,0.5,True,True,True,1.0,0.10304
5603283408,0,0.5,True,True,True,0.47727,0.47727
5603283408,2,0.5,True,False,False,0.0,0.0
7887764754,3,0.5,True,False,False,0.0,0.0
3562017845,0,0.5,False,False,False,0.0,0.0
9213637099,4,0.5,False,False,False,0.41856,0.16961
2835125654,3,0.5,False,False,False,0.0,0.0
9256409422,6,0.5,False,False,False,0.0,0.0
3066064005,5,0.5,False,False,False,0.59289,0.59289
4483447009,1,0.5,True,True,True,0.51717,0.12284
6136926089,4,0.5,True,True,True,1.0,0.86275
2552130183,4,0.5,False,False,False,0.0,0.0
6018514357,1,0.5,False,False,False,0.0,0.0
6205856607,2,0.5,True,True,False,0.17072,0.05347
9873067604,2,0.5,True,True,True,0.6431,0.58099
5840177726,4,0.5,True,False,True,0.77877,0.50588
6018514357,0,0.5,False,False,False,0.0,0.0
5889898795,7,0.5,False,False,False,0.0,0.0
2810112808,6,0.5,False,False,False,0.0,0.0
