K,lambda,method,mIoP,IoP@0.3,IoP@0.5,mIoU,IoU@0.3,IoU@0.5,n_scored,method_c_fallback_rate,method_b_zero_width_rate,method_d_zero_width_rate,method_d_clip_fallback_rate
8,0.25,A,0.27028,0.3162,0.20223,0.21447,0.27412,0.14041,2685,,,,
8,0.25,B,0.31134,0.35047,0.30801,0.10976,0.15009,0.07784,2685,,0.12439,,
8,0.25,C,0.30599,0.34711,0.30615,0.10531,0.13706,0.06406,2685,0.0,,,
8,0.25,D,0.30491,0.37616,0.30726,0.16604,0.24693,0.12737,2685,,,0.0,0.0
8,0.5,A,0.26932,0.31173,0.19516,0.21988,0.27598,0.14153,2685,,,,
8,0.5,B,0.31595,0.35717,0.31508,0.11466,0.15791,0.0797,2685,,0.10019,,
8,0.5,C,0.3029,0.34488,0.30279,0.10285,0.13296,0.0622,2685,0.0,,,
8,0.5,D,0.30201,0.37244,0.30279,0.16423,0.24507,0.12514,2685,,,0.0,0.0
8,0.75,A,0.26909,0.31285,0.19069,0.2226,0.27784,0.14153,2685,,,,
8,0.75,B,0.31198,0.35196,0.31508,0.11444,0.16052,0.08529,2685,,0.08976,,
8,0.75,C,0.30037,0.3419,0.30056,0.10251,0.13371,0.06369,2685,0.0,,,
8,0.75,D,0.29937,0.37058,0.3013,0.16213,0.24246,0.12328,2685,,,0.0,0.0
8,0.9,A,0.26929,0.3121,0.18994,0.2233,0.27747,0.14413,2685,,,,
8,0.9,B,0.31393,0.35307,0.31844,0.11403,0.16201,0.08231,2685,,0.0879,,
8,0.9,C,0.30187,0.34413,0.3013,0.10314,0.13371,0.06406,2685,0.0,,,
8,0.9,D,0.30047,0.37244,0.30242,0.16278,0.24358,0.12365,2685,,,0.0,0.0
8,1.0,A,0.26996,0.31285,0.19143,0.22217,0.27709,0.14264,2685,,,,
8,1.0,B,0.313,0.35047,0.31657,0.11232,0.15903,0.08045,2685,,0.09162,,
8,1.0,C,0.30057,0.34302,0.29981,0.10244,0.13296,0.06331,2685,0.0,,,
8,1.0,D,0.29976,0.37169,0.3013,0.16242,0.24283,0.12328,2685,,,0.0,0.0
12,0.0,A,0.2632,0.30615,0.19441,0.21555,0.27225,0.14115,2685,,,,
12,0.0,B,0.3006,0.34823,0.29758,0.12627,0.1784,0.0987,2685,,0.07002,,
12,0.0,C,0.29871,0.34041,0.2987,0.10473,0.13631,0.06704,2685,0.0,,,
12,0.0,D,0.29828,0.36946,0.30056,0.16298,0.2432,0.12551,2685,,,0.0,0.0
12,0.1,A,0.26518,0.3121,0.19255,0.21953,0.27821,0.14376,2685,,,,
12,0.1,B,0.30946,0.35903,0.30615,0.12933,0.18547,0.10019,2685,,0.07263,,
12,0.1,C,0.30591,0.34898,0.30615,0.10593,0.1378,0.06592,2685,0.0,,,
12,0.1,D,0.30494,0.37914,0.30577,0.16587,0.24767,0.12775,2685,,,0.0,0.0
12,0.25,A,0.26385,0.30503,0.18585,0.22188,0.27784,0.14562,2685,,,,
12,0.25,B,0.31041,0.36164,0.30503,0.13348,0.19404,0.10391,2685,,0.06518,,
12,0.25,C,0.30405,0.346,0.30428,0.10506,0.13669,0.06443,2685,0.0,,,
12,0.25,D,0.30237,0.37505,0.30242,0.16423,0.24655,0.12477,2685,,,0.0,0.0
12,0.5,A,0.26324,0.30205,0.1784,0.22564,0.27635,0.14413,2685,,,,
12,0.5,B,0.3095,0.36127,0.30279,0.1407,0.20372,0.1095,2685,,0.04283,,
12,0.5,C,0.30238,0.34451,0.30205,0.1034,0.13557,0.06406,2685,0.0,,,
12,0.5,D,0.30145,0.37281,0.30354,0.16341,0.24358,0.12365,2685,,,0.0,0.0
12,0.75,A,0.26208,0.29944,0.17579,0.22575,0.27337,0.14339,2685,,,,
12,0.75,B,0.31153,0.36052,0.30838,0.14028,0.20298,0.11248,2685,,0.0298,,
12,0.75,C,0.30128,0.34376,0.30056,0.10335,0.13482,0.06443,2685,0.0,,,
12,0.75,D,0.3003,0.37207,0.30279,0.16276,0.24358,0.12365,2685,,,0.0,0.0
